Codigo,Tipo,Strike,Cotação,T0,TF,AÇÃO,Cotação da Ação
CIELR209,PUT, 20.94, 14.43,11-06 10:01,17-06-2019,CIEL3, 6.59
CIELR12,PUT, 12.19, 5.59,11-06 11:41,17-06-2019,CIEL3, 6.59
CIELR934,PUT, 9.34, 2.82,11-06 15:19,17-06-2019,CIEL3, 6.59
CIELR914,PUT, 9.14, 2.57,11-06 12:42,17-06-2019,CIEL3, 6.59
CIELR9,PUT, 9.04, 2.49,11-06 16:19,17-06-2019,CIEL3, 6.59
CIELR804,PUT, 8.04, 1.53,11-06 14:31,17-06-2019,CIEL3, 6.59
CIELR784,PUT, 7.84, 1.33,11-06 15:25,17-06-2019,CIEL3, 6.59
CIELR764,PUT, 7.64, 1.09,11-06 10:31,17-06-2019,CIEL3, 6.59
CIELR724,PUT, 7.24, 0.75,11-06 15:27,17-06-2019,CIEL3, 6.59
CIELR704,PUT, 7.04, 0.45,11-06 16:42,17-06-2019,CIEL3, 6.59
CIELR684,PUT, 6.84, 0.31,11-06 16:19,17-06-2019,CIEL3, 6.59
CIELR664,PUT, 6.64, 0.16,11-06 16:53,17-06-2019,CIEL3, 6.59
CIELR644,PUT, 6.44, 0.10,11-06 15:27,17-06-2019,CIEL3, 6.59
CIELR624,PUT, 6.24, 0.05,11-06 14:25,17-06-2019,CIEL3, 6.59
CIELF684,CALL, 6.84, 0.05,11-06 16:47,17-06-2019,CIEL3, 6.59
CIELF704,CALL, 7.04, 0.03,11-06 16:51,17-06-2019,CIEL3, 6.59
CIELF724,CALL, 7.24, 0.02,11-06 15:50,17-06-2019,CIEL3, 6.59
CIELF784,CALL, 7.84, 0.01,11-06 15:54,17-06-2019,CIEL3, 6.59
CIELF744,CALL, 7.44, 0.01,11-06 10:37,17-06-2019,CIEL3, 6.59
CIELF824,CALL, 8.24, 0.01,11-06 15:53,17-06-2019,CIEL3, 6.59
CIELF644,CALL, 6.44, 0.20,11-06 16:32,17-06-2019,CIEL3, 6.59
CIELF664,CALL, 6.64, 0.10,11-06 16:28,17-06-2019,CIEL3, 6.59
CIELS9,PUT, 9.00, 2.49,11-06 15:43,15-07-2019,CIEL3, 6.59
CIELS760,PUT, 7.60, 1.08,11-06 11:08,15-07-2019,CIEL3, 6.59
CIELS740,PUT, 7.40, 0.89,11-06 11:50,15-07-2019,CIEL3, 6.59
CIELS680,PUT, 6.80, 0.47,11-06 14:59,15-07-2019,CIEL3, 6.59
CIELG640,CALL, 6.40, 0.41,11-06 16:19,15-07-2019,CIEL3, 6.59
CIELS660,PUT, 6.60, 0.35,11-06 16:28,15-07-2019,CIEL3, 6.59
CIELG660,CALL, 6.60, 0.30,11-06 15:45,15-07-2019,CIEL3, 6.59
CIELS640,PUT, 6.40, 0.28,11-06 15:42,15-07-2019,CIEL3, 6.59
CIELG680,CALL, 6.80, 0.24,11-06 16:28,15-07-2019,CIEL3, 6.59
CIELG700,CALL, 7.00, 0.15,11-06 15:41,15-07-2019,CIEL3, 6.59
CIELG720,CALL, 7.20, 0.13,11-06 16:45,15-07-2019,CIEL3, 6.59
CIELS600,PUT, 6.00, 0.13,11-06 16:28,15-07-2019,CIEL3, 6.59
CIELG740,CALL, 7.40, 0.10,11-06 15:17,15-07-2019,CIEL3, 6.59
CIELG8,CALL, 8.00, 0.04,11-06 16:09,15-07-2019,CIEL3, 6.59
CIELG780,CALL, 7.80, 0.04,11-06 10:27,15-07-2019,CIEL3, 6.59
CIELG9,CALL, 9.00, 0.02,11-06 13:36,15-07-2019,CIEL3, 6.59
CIELG760,CALL, 7.60, 0.02,11-06 10:26,15-07-2019,CIEL3, 6.59
CIELT210,PUT, 21.00, 14.10,11-06 10:01,19-08-2019,CIEL3, 6.59
CIELT10,PUT, 10.00, 3.43,11-06 12:14,19-08-2019,CIEL3, 6.59
CIELT9,PUT, 9.00, 2.38,11-06 11:32,19-08-2019,CIEL3, 6.59
CIELT68,PUT, 6.80, 0.60,11-06 11:36,19-08-2019,CIEL3, 6.59
CIELH68,CALL, 6.80, 0.41,11-06 15:43,19-08-2019,CIEL3, 6.59
CIELH7,CALL, 7.00, 0.36,11-06 16:21,19-08-2019,CIEL3, 6.59
